issue_id	comment_created_at	comment_by
48779280	63112357	2014-11-14 19:00:34	63112357
48779280	63150677	2014-11-15 00:31:31	63150677
48649793	63019682	2014-11-14 07:32:42	63019682
48649793	63242435	2014-11-16 22:20:24	63242435
48649793	63242728	2014-11-16 22:28:00	63242728
48344967	62503785	2014-11-11 05:25:25	62503785
48344967	62548516	2014-11-11 13:48:58	62548516
48344967	62572746	2014-11-11 16:26:55	62572746
47884142	61899198	2014-11-05 23:10:44	61899198
47814988	61847124	2014-11-05 17:27:24	61847124
47762109	61764068	2014-11-05 06:09:10	61764068
47762109	61765710	2014-11-05 06:33:44	61765710
47610331	61510656	2014-11-03 17:03:55	61510656
47610331	61708547	2014-11-04 20:28:20	61708547
47610331	61751326	2014-11-05 02:38:58	61751326
47610331	61752436	2014-11-05 02:53:50	61752436
47610331	63169673	2014-11-15 11:46:42	63169673
47610331	63186269	2014-11-15 19:49:38	63186269
47542529	61416566	2014-11-02 18:04:14	61416566
47542529	61418130	2014-11-02 18:45:04	61418130
47542529	61418290	2014-11-02 18:49:15	61418290
47491069	61869219	2014-11-05 19:46:19	61869219
47491069	63126932	2014-11-14 20:50:29	63126932
47491069	63128518	2014-11-14 21:02:36	63128518
47491069	63131885	2014-11-14 21:29:15	63131885
47491069	63151361	2014-11-15 00:41:48	63151361
47273603	61124636	2014-10-30 16:40:15	61124636
47273603	61128293	2014-10-30 17:01:00	61128293
47273603	61147984	2014-10-30 18:44:56	61147984
47273603	61244151	2014-10-31 10:45:49	61244151
47273603	61281989	2014-10-31 15:57:00	61281989
46930091	68630473	2015-01-04 12:00:56	68630473
45592988	58821659	2014-10-12 20:41:58	58821659
45592988	58822623	2014-10-12 21:11:03	58822623
45592988	58849527	2014-10-13 06:08:19	58849527
45592988	58940370	2014-10-13 19:14:00	58940370
45592988	58942334	2014-10-13 19:29:22	58942334
45592988	58947827	2014-10-13 20:12:09	58947827
45592988	59015015	2014-10-14 09:43:14	59015015
45592988	59077496	2014-10-14 16:48:55	59077496
45592988	59096999	2014-10-14 18:54:07	59096999
45592988	59101985	2014-10-14 19:27:49	59101985
45533978	58762517	2014-10-11 20:00:49	58762517
45533978	58820909	2014-10-12 20:20:58	58820909
45533978	58821807	2014-10-12 20:46:10	58821807
45533978	58821832	2014-10-12 20:47:04	58821832
45533978	58860602	2014-10-13 08:22:27	58860602
45533978	58919339	2014-10-13 16:40:59	58919339
45533978	59003756	2014-10-14 08:03:50	59003756
45533978	59078924	2014-10-14 16:57:25	59078924
45533978	59891152	2014-10-21 07:50:07	59891152
45533978	60012816	2014-10-21 23:00:41	60012816
45533978	60015777	2014-10-21 23:31:21	60015777
45533978	60016686	2014-10-21 23:42:07	60016686
45533978	60040291	2014-10-22 05:59:26	60040291
45533978	60040549	2014-10-22 06:03:19	60040549
45533978	60041363	2014-10-22 06:15:56	60041363
45533978	60043103	2014-10-22 06:44:22	60043103
45533978	60158088	2014-10-22 21:24:38	60158088
45533978	60158747	2014-10-22 21:28:45	60158747
45533978	60474615	2014-10-25 07:31:24	60474615
45533978	60492003	2014-10-25 18:22:18	60492003
45533978	61385012	2014-11-01 21:49:33	61385012
45533978	65232956	2014-12-02 13:51:42	65232956
45487593	58692951	2014-10-10 17:59:23	58692951
45487593	58711501	2014-10-10 20:25:25	58711501
45487593	58741186	2014-10-11 07:29:01	58741186
45487593	58761566	2014-10-11 19:30:47	58761566
45487593	58761734	2014-10-11 19:36:21	58761734
45487593	58762118	2014-10-11 19:49:05	58762118
45487593	58762282	2014-10-11 19:53:46	58762282
45487593	58762388	2014-10-11 19:56:08	58762388
44892742	57920973	2014-10-04 22:51:05	57920973
44892742	57921052	2014-10-04 22:54:57	57921052
44892742	57931427	2014-10-05 09:50:50	57931427
44892742	57939604	2014-10-05 15:30:36	57939604
44660395	57656583	2014-10-02 16:26:48	57656583
44660395	57847027	2014-10-03 19:50:48	57847027
43348027	56315758	2014-09-21 22:49:56	56315758
43348027	56316041	2014-09-21 23:00:27	56316041
43348027	56316679	2014-09-21 23:25:15	56316679
43348027	56544836	2014-09-23 16:06:48	56544836
42477912	55211786	2014-09-11 02:28:41	55211786
42477912	55309631	2014-09-11 18:48:16	55309631
42477912	55312610	2014-09-11 19:09:39	55312610
42477912	58805068	2014-10-12 15:34:02	58805068
42477912	58818790	2014-10-12 19:37:27	58818790
42477912	61777930	2014-11-05 09:05:03	61777930
42477301	55208482	2014-09-11 01:36:42	55208482
42477301	55209841	2014-09-11 01:57:15	55209841
42477301	55313598	2014-09-11 19:17:24	55313598
42177139	54858459	2014-09-08 17:43:27	54858459
42177139	54873251	2014-09-08 19:24:27	54873251
41072847	53288038	2014-08-25 16:30:04	53288038
41072847	53289195	2014-08-25 16:39:23	53289195
41072847	53290590	2014-08-25 16:51:20	53290590
41072847	53293774	2014-08-25 17:14:31	53293774
41072847	53294829	2014-08-25 17:21:20	53294829
41072847	53302812	2014-08-25 18:06:17	53302812
41072847	53311346	2014-08-25 19:00:33	53311346
41072847	53314345	2014-08-25 19:21:42	53314345
41072847	53353316	2014-08-25 23:45:19	53353316
41072847	53447105	2014-08-26 16:16:23	53447105
41072847	53449525	2014-08-26 16:32:41	53449525
41072847	53575583	2014-08-27 13:56:44	53575583
41072847	53579289	2014-08-27 14:22:22	53579289
41072847	55111795	2014-09-10 13:06:48	55111795
41072847	55219853	2014-09-11 05:05:11	55219853
41072847	55261921	2014-09-11 13:18:22	55261921
41072847	55483953	2014-09-13 07:02:55	55483953
41072847	55496737	2014-09-13 15:12:27	55496737
41072847	55503026	2014-09-13 18:50:11	55503026
41015663	53350488	2014-08-25 23:13:20	53350488
41015663	58256251	2014-10-07 20:32:27	58256251
41015663	58287386	2014-10-08 00:42:14	58287386
41015663	58434998	2014-10-08 22:00:40	58434998
41015663	58438439	2014-10-08 22:29:51	58438439
40549737	52582290	2014-08-19 02:15:47	52582290
40549737	52584732	2014-08-19 02:58:02	52584732
40549737	52591191	2014-08-19 05:11:01	52591191
40549737	52706191	2014-08-19 22:05:41	52706191
40549737	52706771	2014-08-19 22:11:04	52706771
40549737	52715026	2014-08-19 23:32:13	52715026
40549737	52716196	2014-08-19 23:48:11	52716196
40549737	52721113	2014-08-20 00:45:19	52721113
40549737	52737358	2014-08-20 06:05:37	52737358
40293776	52237614	2014-08-14 20:13:38	52237614
40293776	52271045	2014-08-15 03:26:34	52271045
40293776	52273216	2014-08-15 04:20:39	52273216
40293776	52296317	2014-08-15 11:20:36	52296317
40293776	52345045	2014-08-15 19:01:53	52345045
40293776	52349520	2014-08-15 19:45:06	52349520
40293776	52377973	2014-08-16 01:17:19	52377973
40293776	52378181	2014-08-16 01:24:41	52378181
40293776	52378562	2014-08-16 01:37:26	52378562
40293776	61267178	2014-10-31 14:24:05	61267178
40293776	61281580	2014-10-31 15:54:31	61281580
40293776	61290686	2014-10-31 16:47:50	61290686
40293776	61319123	2014-10-31 19:44:35	61319123
40293776	62376135	2014-11-10 12:13:28	62376135
40293776	62417380	2014-11-10 17:08:51	62417380
40293776	62437773	2014-11-10 19:16:07	62437773
40293776	62442689	2014-11-10 19:47:15	62442689
38823876	50245390	2014-07-26 18:59:50	50245390
38040202	49253928	2014-07-17 03:08:38	49253928
38040202	49254306	2014-07-17 03:16:30	49254306
37980381	49204318	2014-07-16 18:09:39	49204318
37980381	49206322	2014-07-16 18:24:37	49206322
37825978	48986339	2014-07-15 03:22:48	48986339
37825978	49064703	2014-07-15 17:22:54	49064703
37825978	49065156	2014-07-15 17:26:45	49065156
37825978	49065658	2014-07-15 17:30:48	49065658
37825978	49065899	2014-07-15 17:32:48	49065899
37824972	48955549	2014-07-14 20:33:11	48955549
37824972	48986688	2014-07-15 03:30:11	48986688
37824972	49001131	2014-07-15 07:54:31	49001131
37824972	49009847	2014-07-15 09:34:39	49009847
37824197	48986777	2014-07-15 03:32:08	48986777
37824197	48987315	2014-07-15 03:43:44	48987315
37824197	49069770	2014-07-15 18:03:19	49069770
37824197	49071854	2014-07-15 18:19:48	49071854
37824197	49073431	2014-07-15 18:31:18	49073431
37824197	49073719	2014-07-15 18:33:27	49073719
37748428	48853028	2014-07-13 21:59:20	48853028
37748428	49053265	2014-07-15 15:57:09	49053265
37726734	48828179	2014-07-13 00:42:45	48828179
37726734	48834390	2014-07-13 07:59:06	48834390
37726734	48845681	2014-07-13 16:48:28	48845681
37726734	49071171	2014-07-15 18:14:25	49071171
37726734	49072007	2014-07-15 18:20:58	49072007
36651246	47363222	2014-06-27 15:43:11	47363222
36651246	47371779	2014-06-27 16:37:11	47371779
36651246	47383931	2014-06-27 18:25:53	47383931
36651246	47395985	2014-06-27 20:22:54	47395985
36651246	47662158	2014-07-01 14:24:14	47662158
36651246	47678389	2014-07-01 16:29:38	47678389
36251259	46794128	2014-06-22 21:52:00	46794128
36244429	46786550	2014-06-22 17:07:17	46786550
36244429	63202536	2014-11-16 03:21:23	63202536
36209553	46735918	2014-06-20 23:14:11	46735918
36209553	46736205	2014-06-20 23:19:39	46736205
35888296	52042082	2014-08-13 12:36:25	52042082
35778587	46175765	2014-06-16 13:11:12	46175765
35778587	46790226	2014-06-22 19:27:05	46790226
35778587	46915959	2014-06-23 23:39:15	46915959
35778587	46941064	2014-06-24 07:44:52	46941064
35778587	46990338	2014-06-24 15:55:26	46990338
35778587	47073295	2014-06-25 08:22:42	47073295
35778587	47130468	2014-06-25 17:06:14	47130468
35757643	46133693	2014-06-16 01:06:06	46133693
35757643	46147063	2014-06-16 07:09:00	46147063
35757643	46175156	2014-06-16 13:05:05	46175156
35757643	48187599	2014-07-07 14:45:11	48187599
35565673	45894377	2014-06-12 13:58:28	45894377
35565673	45900311	2014-06-12 14:42:18	45900311
35486029	45764062	2014-06-11 16:18:52	45764062
